unit_code,timestamp,power,emissions
ANGAST1,2026-05-01 01:15:00+10:00,0.0,0.0
ARWF1,2026-05-01 01:15:00+10:00,131.8,0.0
BARCALDN,2026-05-01 01:15:00+10:00,0.0,0.0
BDL01,2026-05-01 01:15:00+10:00,0.0,0.0
BDL02,2026-05-01 01:15:00+10:00,0.0,0.0
BW01,2026-05-01 01:15:00+10:00,489.9855,36.6005
BW02,2026-05-01 01:15:00+10:00,509.3462,37.8971
BW03,2026-05-01 01:15:00+10:00,451.2642,34.0783
BW04,2026-05-01 01:15:00+10:00,508.0034,37.8363
ADPBA1,2026-05-01 01:20:00+10:00,0.047,0.0
ADPBA1G,2026-05-01 01:20:00+10:00,0.047,0.0
ADPPV1,2026-05-01 01:20:00+10:00,0.0,0.0
ANGAST1,2026-05-01 01:20:00+10:00,0.0,0.0
ARWF1,2026-05-01 01:20:00+10:00,128.3,0.0
BARCALDN,2026-05-01 01:20:00+10:00,0.0,0.0
BDL01,2026-05-01 01:20:00+10:00,0.0,0.0
BDL02,2026-05-01 01:20:00+10:00,0.0,0.0
BW01,2026-05-01 01:20:00+10:00,496.0891,36.645
BW02,2026-05-01 01:20:00+10:00,510.103,37.8852
BW03,2026-05-01 01:20:00+10:00,436.4202,32.9886
BW04,2026-05-01 01:20:00+10:00,509.7612,37.8227
ADPBA1,2026-05-01 01:25:00+10:00,-0.01,0.0
ADPBA1L,2026-05-01 01:25:00+10:00,0.01,0.0
ADPPV1,2026-05-01 01:25:00+10:00,0.0,0.0
ANGAST1,2026-05-01 01:25:00+10:00,0.0,0.0
ARWF1,2026-05-01 01:25:00+10:00,123.9,0.0
BARCALDN,2026-05-01 01:25:00+10:00,0.0,0.0
BDL01,2026-05-01 01:25:00+10:00,0.0,0.0
BDL02,2026-05-01 01:25:00+10:00,0.0,0.0
BW01,2026-05-01 01:25:00+10:00,497.139,36.9108
BW02,2026-05-01 01:25:00+10:00,508.5649,37.8562
BW03,2026-05-01 01:25:00+10:00,429.3401,32.1738
BW04,2026-05-01 01:25:00+10:00,508.809,37.8526
ADPBA1,2026-05-01 01:30:00+10:00,0.001,0.0
ADPBA1G,2026-05-01 01:30:00+10:00,0.001,0.0
ADPPV1,2026-05-01 01:30:00+10:00,0.0,0.0
ANGAST1,2026-05-01 01:30:00+10:00,0.0,0.0
ARWF1,2026-05-01 01:30:00+10:00,123.0,0.0
BARCALDN,2026-05-01 01:30:00+10:00,0.0,0.0
BDL01,2026-05-01 01:30:00+10:00,0.0,0.0
BDL02,2026-05-01 01:30:00+10:00,0.0,0.0
BW01,2026-05-01 01:30:00+10:00,496.8215,36.938
BW02,2026-05-01 01:30:00+10:00,509.3706,37.829
BW03,2026-05-01 01:30:00+10:00,430.8049,31.9652
BW04,2026-05-01 01:30:00+10:00,511.7388,37.9261
ADPBA1,2026-05-01 01:35:00+10:00,0.0,0.0
ADPBA1G,2026-05-01 01:35:00+10:00,0.0,0.0
ADPPV1,2026-05-01 01:35:00+10:00,0.0,0.0
ANGAST1,2026-05-01 01:35:00+10:00,0.0,0.0
ARWF1,2026-05-01 01:35:00+10:00,121.4,0.0
BARCALDN,2026-05-01 01:35:00+10:00,0.0,0.0
BDL01,2026-05-01 01:35:00+10:00,0.0,0.0
BDL02,2026-05-01 01:35:00+10:00,0.0,0.0
BW01,2026-05-01 01:35:00+10:00,493.8186,36.8147
BW02,2026-05-01 01:35:00+10:00,508.1743,37.8145
BW03,2026-05-01 01:35:00+10:00,429.4621,31.9697
BW04,2026-05-01 01:35:00+10:00,510.0542,37.9724
ADPBA1,2026-05-01 01:40:00+10:00,0.09,0.0
ADPBA1G,2026-05-01 01:40:00+10:00,0.09,0.0
ADPPV1,2026-05-01 01:40:00+10:00,0.0,0.0
ANGAST1,2026-05-01 01:40:00+10:00,0.0,0.0
ARWF1,2026-05-01 01:40:00+10:00,117.2,0.0
BARCALDN,2026-05-01 01:40:00+10:00,0.0,0.0
BDL01,2026-05-01 01:40:00+10:00,0.0,0.0
BDL02,2026-05-01 01:40:00+10:00,0.0,0.0
BW01,2026-05-01 01:40:00+10:00,504.0482,37.0832
BW02,2026-05-01 01:40:00+10:00,514.7662,38.015
BW03,2026-05-01 01:40:00+10:00,419.5987,31.5532
